date,ticker,name,sector,industry,price,low_52w,high_52w,pct_from_low,pct_from_high,dividend_yield_pct,trailing_pe,market_cap,updated_at
2026-09-11,CDUAF,Canadian Utilities Limited,Utilities,Utilities - Diversified,36.46,25.96,40.95,40.47,-10.97,3.66,303.83,9929172992.0,2026-09-14T07:03:37.065556+00:00
2026-09-11,GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,1280.0,901.22,1417.14,42.03,-9.68,78.0,32.68,60432793600.0,2026-09-14T07:03:18.592516+00:00
2026-09-11,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,177.85,124.47,191.94,42.88,-7.34,2.36,30.77,48443998208.0,2026-09-14T07:03:03.818874+00:00
2026-09-11,UBSI,"United Bankshares, Inc.",Financial Services,Banks - Regional,47.22,32.9,49.22,43.54,-4.07,3.21,12.87,6431958016.0,2026-09-14T07:03:30.092668+00:00
2026-09-11,NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,314.47,217.76,338.1,44.41,-6.99,1.22,31.86,17521623040.0,2026-09-14T07:03:17.844515+00:00
2026-09-11,FMCB,Farmers & Merchants Bancorp,Financial Services,Banks - Regional,1424.5,968.6,1533.97,47.07,-7.14,1.57,10.2,985674240.0,2026-09-14T07:03:22.089009+00:00
2026-09-11,GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,133.68,89.11,147.43,50.02,-9.33,3.18,534.72,18429091840.0,2026-09-14T07:03:09.470589+00:00
2026-09-11,SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,89.24,59.35,103.78,50.35,-14.01,3.77,21.82,13476724736.0,2026-09-14T07:03:12.260902+00:00
2026-09-11,SCL,Stepan Company,Basic Materials,Specialty Chemicals,61.57,40.57,66.55,51.76,-7.48,2.56,,1399642496.0,2026-09-14T07:03:11.582899+00:00
2026-09-11,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,265.58,169.51,281.07,56.68,-5.51,2.01,30.77,640020840448.0,2026-09-14T07:03:10.241035+00:00
2026-09-11,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,86.72,54.0,88.75,60.59,-2.29,2.39,23.69,41795268608.0,2026-09-14T07:03:17.149547+00:00
2026-09-11,GRC,Gorman-Rupp Company (The),Industrials,Specialty Industrial Machinery,74.47,41.98,92.56,77.38,-19.54,1.04,31.42,1966770944.0,2026-09-14T07:03:33.590522+00:00
2026-09-11,TGT,Target Corporation,Consumer Defensive,Discount Stores,155.83,81.2,170.75,91.9,-8.74,2.98,16.15,70792241152.0,2026-09-14T07:03:07.395321+00:00
2026-09-11,NUE,Nucor Corporation,Basic Materials,Steel,259.43,130.11,280.11,99.39,-7.38,86.0,20.7,58858356736.0,2026-09-14T07:03:25.592196+00:00
